X,Y,Z,Name,Height,Width,Enabled
10763.10966,10494.92353,1117.993994,Source 01,10,10,TRUE
10584.8,10745.819,1118,Source 02,10,10,TRUE
10588.32844,10363.34668,1092.972703,Source 03,10,10,TRUE
10474.44067,10515.05237,1097.995858,Source 04,10,10,TRUE
10643.779,10204.963,1093,Source 05,10,10,TRUE
10468.909,10166.81,1018,Source 07,10,10,TRUE
10306.006,10311.198,1093,Source 08,10,10,TRUE
10096.605,10251.315,1093.257,Source 09,10,10,TRUE
10551.936,11828.489,1278,Source 10,10,10,TRUE
