StringId,X,Y,Z,Rolling Resistance,Ground Structure,Maximum Speed Full (Fwd),Maximum Speed Empty (Fwd),Maximum Speed Full (Rev),Maximum Speed Empty (Rev)
10,111330.945,101607.91,6560,2,0,100,100,100,100
10,111544.824,101224.883,6600,2,0,100,100,100,100
10,111676.076,101134.315,6610,2,0,100,100,100,100
10,111953.18,101003.38,6640,2,0,100,100,100,100
10,112244.123,100940.428,6670,2,0,100,100,100,100
11,111330.945,101607.91,6560,2,0,100,100,100,100
11,111071.461,102302.543,6550.003,2,0,100,100,100,100
12,111330.945,101607.91,6560,2,0,100,100,100,100
12,111470.918,101348.661,6590,2,0,100,100,100,100
13,111544.824,101224.883,6600,2,0,100,100,100,100
13,111470.918,101348.661,6590,2,0,100,100,100,100
14,109288.369,100848.779,6550,2,0,100,100,100,100
14,109526.807,100979.54,6550,2,0,100,100,100,100
14,109735.635,101095.087,6550,2,0,100,100,100,100
14,109919.896,101199.248,6550,2,0,100,100,100,100
14,110084.65,101295.849,6550,2,0,100,100,100,100
14,110234.938,101388.715,6550,2,0,100,100,100,100
14,110375.807,101481.672,6550,2,0,100,100,100,100
14,110512.309,101578.547,6550,2,0,100,100,100,100
14,110659.502,101669.544,6550,2,0,100,100,100,100
14,110822.311,101792.567,6550,2,0,100,100,100,100
14,111011.828,101998.25,6550,2,0,100,100,100,100
15,109288.369,100848.779,6550,2,0,100,100,100,100
15,109051.949,100878.103,6550,2,0,100,100,100,100
15,108818.973,100891.684,6550,2,0,100,100,100,100
15,108591.066,100903.44,6550,2,0,100,100,100,100
15,108369.865,100927.293,6550,2,0,100,100,100,100
15,108156.994,100977.163,6550,2,0,100,100,100,100
15,107954.082,101066.968,6550,2,0,100,100,100,100
15,107762.758,101210.629,6550,2,0,100,100,100,100
15,107584.65,101422.066,6550,2,0,100,100,100,100
15,107421.389,101715.199,6550,2,0,100,100,100,100
15,107274.598,102103.946,6550,2,0,100,100,100,100
16,109288.369,100848.779,6550,2,0,100,100,100,100
16,108808.957,100680.574,6600,2,0,100,100,100,100
16,108315.646,100615.811,6650,2,0,100,100,100,100
16,107820.592,100649.499,6700,2,0,100,100,100,100
16,107365.756,100854.02,6750,2,0,100,100,100,100
16,106983.844,101172.866,6800,2,0,100,100,100,100
16,106647.859,101540.499,6850,2,0,100,100,100,100
16,106399.072,101970.396,6900,2,0,100,100,100,100
16,106260.197,102452.593,6950,2,0,100,100,100,100
16,106234.146,102950.283,7000,2,0,100,100,100,100
17,107145.91,102602.228,6550,2,0,100,100,100,100
17,107274.598,102103.946,6550,2,0,100,100,100,100
17,107421.389,101715.199,6550,2,0,100,100,100,100
17,107584.65,101422.066,6550,2,0,100,100,100,100
17,107762.758,101210.629,6550,2,0,100,100,100,100
17,107954.082,101066.968,6550,2,0,100,100,100,100
17,108156.994,100977.163,6550,2,0,100,100,100,100
17,108369.865,100927.293,6550,2,0,100,100,100,100
17,108591.066,100903.44,6550,2,0,100,100,100,100
17,108818.973,100891.684,6550,2,0,100,100,100,100
17,109051.949,100878.103,6550,2,0,100,100,100,100
18,101055.979,106475.541,7212.09,2,0,100,100,100,100
18,100886.306,106424.257,7211.42,2,0,100,100,100,100
18,100536.796,106219.134,7210.92,2,0,100,100,100,100
18,100227.908,105752.393,7205.88,2,0,100,100,100,100
18,99999.912,105474.778,7189.28,2,0,100,100,100,100
18,99658.446,104918.746,7148.628,2,0,100,100,100,100
18,99660.082,104762.334,7140,2,0,100,100,100,100
18,99433.146,104417.848,7130,2,0,100,100,100,100
18,99263.885,104362.612,7130,2,0,100,100,100,100
18,99060.734,104175.057,7120,2,0,100,100,100,100
18,98957.533,104071.685,7130,2,0,100,100,100,100
18,98872.237,103995.246,7140,2,0,100,100,100,100
18,98701.256,103891.428,7150,2,0,100,100,100,100
19,101055.979,106475.541,7212.09,2,0,100,100,100,100
19,101610.417,106463.848,7207.5,2,0,100,100,100,100
19,101834.17,106353.543,7199.86,2,0,100,100,100,100
19,102010.333,105877.879,7158.95,2,0,100,100,100,100
19,102359.628,105283.254,7099.68,2,0,100,100,100,100
20,101055.979,106475.541,7212.09,2,0,100,100,100,100
20,101319.5,107056.446,7210,2,0,100,100,100,100
21,105679.652,104204.294,7028.05,2,0,100,100,100,100
21,105913.51,104014.09,7022.99,2,0,100,100,100,100
21,106074.352,103846.376,7021.248,2,0,100,100,100,100
21,106240.307,103511.424,7021.347,2,0,100,100,100,100
22,105679.652,104204.294,7028.05,2,0,100,100,100,100
22,105204.023,104163.344,7033.49,2,0,100,100,100,100
22,104771.934,104096.574,7040.75,2,0,100,100,100,100
22,104393.084,104137.109,7039.03,2,0,100,100,100,100
22,104018.912,104239.227,7033.16,2,0,100,100,100,100
23,105679.652,104204.294,7028.05,2,0,100,100,100,100
23,105674.02,104594.049,7030,2,0,100,100,100,100
24,106348.418,103420.779,7021.875,2,0,100,100,100,100
24,106240.307,103511.424,7021.347,2,0,100,100,100,100
