Truck Type,Number of Trucks,Source,Destination
Komatsu HD-785,2,Source 02,Dump 03
Komatsu HD-785,2,Source 01,Dump 01
Komatsu HD-785,2,Source 01,Dump 01
Komatsu HD-325,3,Source 01,Dump 01
Komatsu HD-325,2,Source 01,Dump 01
Komatsu HD-325,2,Source 01,Dump 01
Komatsu HD-325,3,Source 01,Dump 01
Komatsu HD-785,2,Source 01,Dump 01
Komatsu HD-785,2,Source 01,Dump 01
