X,Y,Z,Name,Height,Width,Enabled
9772.577,10664.592,1081.09,Workshop,10,10,True
9573.241,9838.907,1087.53,Fuel Bay South,10,10,True
8758.34,11599.559,1056.487,Fuel Bay North,10,10,True
10361.647,9792.532,1107.425,Temp Crib Hut,10,10,True
9613.287,11633.783,1061.511,Crib Hut,10,10,True
