StringId,X,Y,Z,Description,Width,Height,Rolling Resistance,Traction Coefficient,Ground Structure,Locked,Enabled (Fwd),Empty Only (Fwd),Full Only (Fwd),Maximum Speed Full (Fwd),Maximum Final Speed Full (Fwd),Maximum Speed Empty (Fwd),Maximum Final Speed Empty (Fwd),Enabled (Rev),Empty Only (Rev),Full Only (Rev),Maximum Speed Full (Rev),Maximum Final Speed Full (Rev),Maximum Speed Empty (Rev),Maximum Final Speed Empty (Rev)
1,9230.596,9689.2,1086.093,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9211.15986293646,9689.8346994305,1087.17692251528,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9200.03373601709,9687.0711853591,1087.21540899771,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9189.34958289589,9688.24252415755,1087.25402281341,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9174.014836565,9686.70586619258,1087.00373334437,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9164.02745112563,9687.79010903081,1086.90748530498,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9156.64568649643,9689.39960162919,1086.94223137245,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9140.47168654877,9689.53890423224,1086.61002681582,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9128.70749258743,9690.81745764841,1086.56807050164,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9114.35550447444,9692.37678093636,1086.50149907371,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9105.00389407808,9693.38933514065,1086.37557442288,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9095.66081501116,9694.40532734338,1086.35754084778,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9088.16954376531,9696.84363222995,1086.28360796487,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9078.87243201073,9698.67150139527,1086.26537543153,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9068.85575991807,9702.20881978,1086.16632606009,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9057.81545562617,9705.04682381739,1085.98598235078,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9046.75898000832,9707.08593888625,1086.13250315887,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9038.4001871586,9708.84377475022,1086.63227830566,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9029.92386569589,9709.79571831552,1087.13314374361,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9019.69098170196,9712.56725438327,1087.14438090514,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9011.14844693614,9715.15517586819,1087.09893088423,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9003.29198385704,9716.02588080392,1087.13478315953,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8996.44501898363,9719.2483039991,1086.81240714007,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8987.6526563319,9721.86156480579,1086.32558815404,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8981.68123505869,9725.00134870537,1086.08316151474,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8971.86676820702,9726.91236649939,1085.6221195586,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8965.76037366211,9729.24816809944,1085.37820471165,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8958.66358090278,9730.86848402621,1085.16211218532,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8950.57333393044,9732.59665123706,1084.75178070603,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8938.64016871292,9735.63023918514,1085.5945200712,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8931.97465375665,9737.24125978282,1086.49029374549,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8924.21534596652,9738.13628537412,1087.19351563271,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8915.55528258771,9739.13381425194,1087.92687571449,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8908.32631788874,9741.66379909665,1089.41182045307,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8899.94536904914,9743.48084493358,1090.59364833007,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8884.67339802292,9746.10085440385,1092.56960609444,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8874.31101608812,9747.30542718713,1093.70453553452,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8865.72175001031,9748.30754006286,1094.78210929246,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8854.52100579167,9750.44890375169,1095.95163359174,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
